
 average per slot
-15.747549, -13.717628, -15.089329, -14.684196, -15.680658, -14.373062, -13.877687, -13.979774, -15.730293, -15.977564, 
 
-15.100206, -16.596008, -14.782909, -15.409746, -15.445686, -14.907782, -15.162741, -16.121157, -14.360399, -15.116945, 
 
-15.009691, -14.491329, -16.183294, -15.237940, -14.742374, -14.659008, -13.360018, -14.542641, -15.352694, -13.839724, 
 
-14.466475, -14.811594, -14.692945, -15.541321, -14.818113, -15.634438, -14.928257, -14.915184, -14.516844, -14.585136, 
 
-14.388601, -15.001842, -15.179165, -14.991470, -14.836840, -15.450180, -15.678728, -15.772627, -14.474552, -15.245014, 
 
-15.432161, -14.800467, -14.245199, -15.372086, -15.528736, -14.661350, -15.561302, -15.885944, -15.327662, -16.452332, 
 
-15.048607, -16.007874, -14.544333, -14.059002, -15.114342, -16.431574, -14.343475, -14.706995, -15.127617, -15.250677, 
 
-14.116182, -14.673733, -15.695168, -14.518024, -14.717096, -14.507368, -14.192951, -15.073067, -14.095659, -13.996199, 
 
-14.176064, -15.856569, -15.039785, -14.288153, -15.142647, -14.683725, -15.690918, -14.456457, -15.357098, -16.108953, 
 
-14.364908, -15.359953, -16.271582, -15.095156, -14.985043, -15.177338, -14.819136, -16.360624, -15.137512, -14.386244, 
 
-14.467665, -14.499029, -14.447481, -15.604677, -14.669977, -15.438749, -14.929998, -14.952709, -14.531672, -15.188866, 
 
-14.219265, -14.897787, -15.960119, -14.897314, -15.427145, -15.217762, -15.873566, -15.413347, -15.952251, -14.845562, 
 
-13.831743, -15.757080, -14.943020, -14.643345, -15.257702, -15.351391, -14.798456, -15.415327, -15.107588, -16.696209, 
 
-13.916176, -16.069506, -14.890791, -15.050779, -13.700941, -14.665241, -15.180750, -16.154427, -14.792124, -14.838406, 
 
-14.870047, -15.466721, -16.458918, -14.987070, -16.294737, -13.881119, -14.237207, -14.840742, -15.353512, -14.991018, 
 
-14.347900, -13.927143, -14.578487, -14.512367, -15.139362, -15.080421, -15.240543, -15.657890, -15.409275, -15.265886, 
 
-14.128229, -14.514904, -14.437647, -15.873442, -14.267200, -15.785666, -15.140591, -13.303682, -16.314323, -15.829626, 
 
